Date,Country/Region,New cases/1M
2020-03-10 00:00:00,US,1.2313331228226456
2020-03-11 00:00:00,China,0.0012758748559970174
2020-03-11 00:00:00,Denmark,10.940919037199125
2020-03-11 00:00:00,Germany,5.525519913221954
2020-03-11 00:00:00,Italy,41.58081474134513
2020-03-11 00:00:00,"Korea, South",5.121570808896763
2020-03-11 00:00:00,Spain,12.923073972255988
2020-03-11 00:00:00,Sweden,14.854524856147663
2020-03-11 00:00:00,US,1.0637170956321282
2020-03-12 00:00:00,China,0.0005012365505702568
2020-03-12 00:00:00,Denmark,10.515438852419159
2020-03-12 00:00:00,Germany,2.078182268247195
2020-03-12 00:00:00,Italy,0
2020-03-12 00:00:00,"Korea, South",2.478179423659724
2020-03-12 00:00:00,Spain,0.02150261892222294
2020-03-12 00:00:00,Sweden,10.072588772319305
2020-03-12 00:00:00,US,1.2442266633757624
2020-03-13 00:00:00,China,0.0004784530709988816
2020-03-13 00:00:00,Denmark,11.36639922197909
2020-03-13 00:00:00,Germany,19.57158712625741
2020-03-13 00:00:00,Italy,93.42010868750995
2020-03-13 00:00:00,"Korea, South",2.2716644716880805
2020-03-13 00:00:00,Spain,65.21744319110218
2020-03-13 00:00:00,Sweden,21.87481400049142
2020-03-13 00:00:00,US,1.6858304273200095
2020-03-14 00:00:00,China,0.001025256580711889
2020-03-14 00:00:00,Denmark,2.005835156819839
2020-03-14 00:00:00,Germany,11.148836639067307
2020-03-14 00:00:00,Italy,60.854823328106534
2020-03-14 00:00:00,"Korea, South",2.3336189572795734
2020-03-14 00:00:00,Spain,26.25469770403421
2020-03-14 00:00:00,Sweden,15.058011498012698
2020-03-14 00:00:00,US,1.7889787517449434
2020-03-15 00:00:00,China,0.0008202052645695111
2020-03-15 00:00:00,Denmark,2.4313153415998054
2020-03-15 00:00:00,Germany,14.81621711244471
2020-03-15 00:00:00,Italy,65.59460531934795
2020-03-15 00:00:00,"Korea, South",1.6314681205759851
2020-03-15 00:00:00,Spain,32.27543100225664
2020-03-15 00:00:00,Sweden,6.30808589781613
2020-03-15 00:00:00,US,2.5174637929960375
2020-03-16 00:00:00,China,0.0010024731011405135
2020-03-16 00:00:00,Denmark,3.5861901288597133
2020-03-16 00:00:00,Germany,18.129084140062297
2020-03-16 00:00:00,Italy,59.363283540652944
2020-03-16 00:00:00,"Korea, South",1.5282106445901633
2020-03-16 00:00:00,Spain,47.241253772123805
2020-03-16 00:00:00,Sweden,8.546438958331532
2020-03-16 00:00:00,US,3.7230098347124496
2020-03-17 00:00:00,China,0.0008657722237122617
2020-03-17 00:00:00,Denmark,5.652808169219548
2020-03-17 00:00:00,Germany,24.351406343225957
2020-03-17 00:00:00,Italy,64.15278352480948
2020-03-17 00:00:00,"Korea, South",1.858634567744793
2020-03-17 00:00:00,Spain,42.94072998767922
2020-03-17 00:00:00,Sweden,8.953412242061605
2020-03-17 00:00:00,US,5.840773870561868
2020-03-18 00:00:00,China,0.0012530913764256422
2020-03-18 00:00:00,Denmark,5.531242402139557
2020-03-18 00:00:00,Germany,37.57842525054046
2020-03-18 00:00:00,Italy,77.59321427619685
2020-03-18 00:00:00,"Korea, South",1.9825435389277792
2020-03-18 00:00:00,Spain,48.423897812846064
2020-03-18 00:00:00,Sweden,9.360385525791678
2020-03-18 00:00:00,US,4.422484409719031
2020-03-19 00:00:00,China,0.0014125757334252692
2020-03-19 00:00:00,Denmark,6.74690007293946
2020-03-19 00:00:00,Germany,36.78382614797536
2020-03-19 00:00:00,Italy,95.27624708967441
2020-03-19 00:00:00,"Korea, South",3.2835877363491344
2020-03-19 00:00:00,Spain,91.60115660866974
2020-03-19 00:00:00,Sweden,16.380674670135434
2020-03-19 00:00:00,US,19.26294958635636
2020-03-20 00:00:00,China,0.0022327809979947803
2020-03-20 00:00:00,Denmark,6.990031607099441
2020-03-20 00:00:00,Germany,55.63416178113521
2020-03-20 00:00:00,Italy,109.5950290492289
2020-03-20 00:00:00,"Korea, South",1.858634567744793
2020-03-20 00:00:00,Spain,57.196966333113025
2020-03-20 00:00:00,Sweden,20.85738079116624
2020-03-20 00:00:00,US,17.62224655097226
2020-03-21 00:00:00,China,0.001389792253853894
2020-03-21 00:00:00,Denmark,5.288110867979577
2020-03-21 00:00:00,Germany,29.11900095861658
2020-03-21 00:00:00,Italy,121.80908264204331
2020-03-21 00:00:00,"Korea, South",3.200981755560477
2020-03-21 00:00:00,Spain,113.8778698120927
2020-03-21 00:00:00,Sweden,13.023145079362335
2020-03-21 00:00:00,US,20.797280912177253
2020-03-22 00:00:00,China,0.0033036045378494203
2020-03-22 00:00:00,Denmark,5.713591052759543
2020-03-22 00:00:00,Germany,32.63968621305889
2020-03-22 00:00:00,Italy,102.93281799860286
2020-03-22 00:00:00,"Korea, South",3.531405678715107
2020-03-22 00:00:00,Spain,81.51642833414718
2020-03-22 00:00:00,Sweden,17.499851200393135
2020-03-22 00:00:00,US,25.455072436990662
2020-03-23 00:00:00,China,0.0014353592129966444
2020-03-23 00:00:00,Denmark,4.194018964259665
2020-03-23 00:00:00,Germany,51.49002184621874
2020-03-23 00:00:00,Italy,89.3266606041651
2020-03-23 00:00:00,"Korea, South",0
2020-03-23 00:00:00,Spain,148.51858889579384
2020-03-23 00:00:00,Sweden,11.802225228172114
2020-03-23 00:00:00,US,34.52567821610827
2020-03-24 00:00:00,China,0.0022783479571375307
2020-03-24 00:00:00,Denmark,9.36056406515925
2020-03-24 00:00:00,Germany,48.45832065489342
2020-03-24 00:00:00,Italy,99.30340451579912
2020-03-24 00:00:00,"Korea, South",1.7553770917589713
2020-03-24 00:00:00,Spain,112.80273886598155
2020-03-24 00:00:00,Sweden,25.537573554062075
2020-03-24 00:00:00,US,32.3692335585995
